Benchmark,Gate Cost,Time
alu-bdd_288.qasm,418,1.7e-05
mod8-10_178.qasm,1249,6.4e-05
mod5adder_127.qasm,2077,0.000142
sqn_258.qasm,41294,0.001975
cm42a_207.qasm,6951,0.000324
dc2_222.qasm,39112,0.002571
4gt5_75.qasm,347,2e-05
4gt11_84.qasm,141,7e-06
hwb4_49.qasm,809,6.2e-05
dc1_220.qasm,7011,0.000352
3_17_13.qasm,186,9e-06
decod24-v0_38.qasm,256,1.1e-05
ex3_229.qasm,1375,0.000111
ising_model_10.qasm,1167,4e-05
4gt4-v0_79.qasm,1003,5.7e-05
alu-v1_29.qasm,191,9e-06
4mod5-v0_18.qasm,286,1.4e-05
4mod7-v0_94.qasm,697,3.3e-05
urf3_279.qasm,549844,0.024885
4gt12-v0_87.qasm,1062,4.8e-05
plus63mod8192_164.qasm,764302,0.033747
9symml_195.qasm,141196,0.006267
cm82a_208.qasm,2577,0.000117
wim_266.qasm,3738,0.000178
4gt13-v1_93.qasm,310,1.3e-05
mod5mils_65.qasm,192,8e-06
plus63mod4096_163.qasm,526151,0.023148
urf2_152.qasm,289579,0.014061
con1_216.qasm,3875,0.000172
hwb5_53.qasm,5244,0.000246
4mod5-v0_20.qasm,138,5e-06
alu-v2_30.qasm,2015,9.2e-05
sf_276.qasm,3147,0.000137
qft_16.qasm,3664,0.000106
sym6_145.qasm,15228,0.000693
sf_274.qasm,3144,0.000138
ising_model_13.qasm,1594,5.2e-05
mod8-10_177.qasm,1780,8.2e-05
cm152a_212.qasm,4876,0.00022
rd53_131.qasm,2044,8.5e-05
radd_250.qasm,12521,0.000574
ham15_107.qasm,36121,0.001587
urf1_149.qasm,736276,0.032834
ex-1_166.qasm,100,5e-06
4mod5-v0_19.qasm,204,7e-06
aj-e11_165.qasm,687,3e-05
urf1_278.qasm,230375,0.010832
rd53_130.qasm,3879,0.000183
miller_11.qasm,242,1.1e-05
ex1_226.qasm,122,3e-06
4gt11_83.qasm,169,7e-06
4gt4-v0_73.qasm,1642,7.5e-05
max46_240.qasm,112013,0.004876
misex1_241.qasm,18266,0.000854
alu-v2_33.qasm,195,8e-06
one-two-three-v0_97.qasm,1051,5.2e-05
decod24-bdd_294.qasm,394,1.4e-05
4gt13_90.qasm,483,2.3e-05
sym9_148.qasm,79795,0.003807
alu-v2_32.qasm,579,3e-05
alu-v1_28.qasm,197,9e-06
cnt3-5_180.qasm,2194,9.2e-05
4gt4-v0_80.qasm,779,3.4e-05
ground_state_estimation_10.qasm,1489098,0.06203
mini-alu_167.qasm,1081,5.2e-05
4mod5-v1_22.qasm,158,6e-06
sys6-v0_111.qasm,1094,4.3e-05
rd53_138.qasm,568,2.7e-05
4gt13_92.qasm,293,1.3e-05
0410184_169.qasm,1114,4.5e-05
qft_10.qasm,1368,4.1e-05
hwb6_56.qasm,24758,0.001187
hwb8_113.qasm,260133,0.012246
4_49_16.qasm,895,4.1e-05
alu-v0_26.qasm,371,2.7e-05
sym10_262.qasm,258226,0.011589
4gt10-v1_81.qasm,510,2.7e-05
rd32_270.qasm,398,1.6e-05
urf6_160.qasm,661683,0.030747
rd53_311.qasm,1298,5.4e-05
one-two-three-v2_100.qasm,334,1.8e-05
hwb9_119.qasm,801756,0.037661
rd73_252.qasm,22200,0.000956
cm85a_209.qasm,43491,0.002143
urf4_187.qasm,1835303,0.089821
one-two-three-v1_99.qasm,555,2.7e-05
decod24-v3_45.qasm,623,2.7e-05
alu-v4_37.qasm,243,8e-06
cycle10_2_110.qasm,25088,0.00109
4mod5-bdd_287.qasm,323,1.4e-05
hwb7_59.qasm,92600,0.004345
mod10_171.qasm,787,4.7e-05
cnt3-5_179.qasm,850,3.8e-05
adr4_197.qasm,14770,0.000623
decod24-enable_126.qasm,1465,6.3e-05
ham7_104.qasm,1406,6.2e-05
ising_model_16.qasm,2045,6.5e-05
4gt4-v0_78.qasm,1064,4.7e-05
4gt13_91.qasm,458,2.2e-05
4gt5_76.qasm,387,1.9e-05
f2_232.qasm,4250,0.000212
mlp4_245.qasm,77660,0.003392
sqrt8_260.qasm,12161,0.000539
rd84_142.qasm,1598,6.6e-05
4mod5-v1_23.qasm,298,1.3e-05
rd32-v0_66.qasm,198,8e-06
z4_268.qasm,12156,0.000553
rd84_253.qasm,56027,0.002456
majority_239.qasm,2378,0.000111
mod5d2_64.qasm,266,1.1e-05
life_238.qasm,89106,0.004018
sao2_257.qasm,155054,0.006915
rd53_135.qasm,1244,5.7e-05
alu-v3_34.qasm,253,1.1e-05
C17_204.qasm,1603,8.4e-05
sym9_193.qasm,141196,0.006258
alu-v3_35.qasm,243,8e-06
urf5_280.qasm,206254,0.009677
4gt11_82.qasm,211,9e-06
sym6_316.qasm,1438,5.4e-05
mod10_176.qasm,682,3.3e-05
4mod5-v1_24.qasm,159,8e-06
decod24-v2_43.qasm,194,9e-06
graycode6_47.qasm,81,3e-06
mini_alu_305.qasm,870,3.4e-05
4gt12-v1_89.qasm,860,4.2e-05
4gt5_77.qasm,552,2.5e-05
ex2_227.qasm,2323,0.000112
urf2_277.qasm,94102,0.004113
root_255.qasm,69669,0.003075
squar5_261.qasm,8787,0.000359
rd73_140.qasm,1213,4.6e-05
one-two-three-v0_98.qasm,658,2.8e-05
rd53_251.qasm,5245,0.000231
4gt12-v0_88.qasm,761,3.6e-05
mod5d1_63.qasm,178,7e-06
4gt4-v1_74.qasm,1055,4.9e-05
urf5_158.qasm,622585,0.02928
clip_206.qasm,139455,0.00613
4gt4-v0_72.qasm,963,4.7e-05
pm1_249.qasm,6951,0.000314
4mod7-v1_96.qasm,744,3.1e-05
decod24-v1_41.qasm,398,1.7e-05
alu-v4_36.qasm,493,2.2e-05
square_root_7.qasm,34972,0.001353
rd53_133.qasm,2073,0.000104
alu-v0_27.qasm,166,7e-06
4gt12-v0_86.qasm,1096,5e-05
rd32-v1_68.qasm,200,8e-06
sym9_146.qasm,1653,6.5e-05
alu-v2_31.qasm,1493,7.9e-05
dist_223.qasm,151458,0.006866
ham3_102.qasm,128,6e-06
co14_215.qasm,77048,0.003251
urf3_155.qasm,1625631,0.075793
inc_237.qasm,45204,0.001897
xor5_254.qasm,122,3e-06
one-two-three-v3_101.qasm,308,1.3e-05
